"","ID","purchase","s.ahead","d.stay","s.weekd","in.weekd","out.weekd","room","adult","child","minstar","match","s.name","n.search","page","click","time"
"8918",8918,0,6,1,"Monday","Sunday","Monday",1,2,0,0,0,"Hilton Cancun Golf",1,1,0,0
"8920",8920,0,60,7,"Monday","Saturday","Saturday",1,2,0,0,106,"",2,2,1,0.0197222222222222
"8922",8922,0,11,1,"Monday","Friday","Saturday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8923",8923,0,25,7,"Monday","Friday","Friday",1,2,0,0,106,"",1,1,0,0
"8927",8927,0,11,1,"Monday","Friday","Saturday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8928",8928,0,149,4.95833333333333,"Monday","Wednesday","Monday",1,2,2,0,106,"",3,6,5,72.6619444444444
"8929",8929,0,37,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8930",8930,0,67,1,"Monday","Friday","Saturday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8931",8931,0,63,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8932",8932,0,93,5,"Monday","Thursday","Tuesday",1,2,0,0,106,"",1,2,2,0
"8933",8933,0,39,1,"Monday","Friday","Saturday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8934",8934,0,62,1,"Monday","Sunday","Monday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8935",8935,0,50,6,"Monday","Wednesday","Tuesday",1,2,0,0,106,"",2,2,0,0.00555555555555555
"8936",8936,0,46,1,"Monday","Friday","Saturday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8937",8937,0,62,5,"Monday","Sunday","Friday",1,2,0,0,106,"",1,1,1,0
"8940",8940,0,4,1,"Monday","Saturday","Sunday",1,2,0,0,106,"",1,1,0,0
"8942",8942,0,65,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8943",8943,0,45,1,"Monday","Thursday","Friday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8944",8944,0,11,1,"Monday","Friday","Saturday",1,2,0,0,0,"Hilton Cancun Golf",1,1,0,0
"8945",8945,0,87,1,"Monday","Thursday","Friday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8947",8947,0,30,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"8948",8948,0,166,5,"Monday","Saturday","Thursday",1,4,1,0,106,"gran mella",4,4,2,0.115277777777778
"8949",8949,0,55,1,"Monday","Sunday","Monday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8950",8950,0,9,3,"Monday","Thursday","Sunday",1,2,0,0,32,"",5,7,2,0.375555555555556
"8951",8951,0,93,3,"Monday","Thursday","Sunday",1,1,0,0,106,"",1,1,0,0
"8952",8952,0,19,3.04166666666667,"Monday","Sunday","Wednesday",1,4,0,0,106,"",3,3,2,0.126944444444444
"8953",8953,0,63,1,"Monday","Monday","Tuesday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"8954",8954,0,13,1,"Monday","Sunday","Monday",1,2,0,0,0,"Hilton Cancun Golf",1,1,0,0
"8955",8955,0,96,7,"Monday","Saturday","Saturday",1,2,0,0,106,"",1,6,5,0
"8956",8956,0,180,5,"Monday","Sunday","Friday",1,2,0,0,106,"",2,2,0,0.0344444444444445
"8957",8957,0,94,3,"Monday","Friday","Monday",1,2,0,0,106,"",1,1,1,0
"8958",8958,0,26,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"8959",8959,0,10,6,"Monday","Thursday","Wednesday",1,2,0,0,1,"omni",1,1,1,0
"8960",8960,0,62,6,"Friday","Friday","Thursday",1,2,0,0,106,"",14,17,9,97.2677777777778
"8961",8961,0,82,1,"Monday","Saturday","Sunday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"8962",8962,0,67,3,"Monday","Friday","Monday",1,2,0,0,106,"",3,8,6,0.2925
"8963",8963,0,52,1,"Monday","Thursday","Friday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8964",8964,0,13,4,"Monday","Monday","Friday",1,1,0,0,106,"",1,1,0,0
"8965",8965,0,49,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8966",8966,0,64,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8967",8967,0,10,3,"Monday","Friday","Monday",1,2,0,0,106,"radison",9,10,3,0.966666666666667
"8968",8968,0,78,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8969",8969,0,53,7,"Monday","Saturday","Saturday",1,2,2,0,35,"",6,6,0,0.378333333333333
"8970",8970,0,107,4,"Monday","Thursday","Monday",1,2,0,0,106,"",1,2,2,0
"8971",8971,0,54,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8972",8972,0,42,5,"Monday","Tuesday","Sunday",1,1,0,0,106,"",1,1,1,0
"8973",8973,0,1,1,"Monday","Tuesday","Wednesday",1,2,0,0,106,"",4,4,9,0.0372222222222222
"8974",8974,0,73,7,"Monday","Friday","Friday",1,2,1,0,106,"",2,2,1,0.00333333333333333
"8976",8976,0,30,4,"Monday","Thursday","Monday",1,2,0,0,11,"me",2,2,1,0.00611111111111111
"8977",8977,0,3,1,"Monday","Thursday","Friday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8978",8978,0,91,4,"Monday","Monday","Friday",2,2,0,0,106,"",5,7,2,0.347777777777778
"8980",8980,0,64,5,"Monday","Wednesday","Monday",1,2,0,0,106,"",1,1,1,0
"8981",8981,0,31,3,"Monday","Thursday","Sunday",1,2,0,0,106,"",3,3,0,22.33
"8982",8982,0,82,7,"Monday","Saturday","Saturday",1,2,0,0,106,"",2,4,8,0.0922222222222222
"8983",8983,0,89,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8984",8984,0,79,7,"Monday","Thursday","Thursday",1,2,0,40,32,"",2,2,1,0.136388888888889
"8985",8985,0,78,4,"Monday","Wednesday","Sunday",2,2,0,0,106,"",2,4,5,49.3652777777778
"8986",8986,0,42,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8987",8987,0,29,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"8988",8988,0,130,5,"Monday","Saturday","Thursday",1,2,0,0,33,"all inclusive",4,5,2,0.0369444444444444
"8989",8989,0,40,1,"Monday","Saturday","Sunday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8990",8990,0,18,1,"Monday","Friday","Saturday",1,2,0,0,0,"Hilton Cancun Golf",1,1,0,0
"8991",8991,0,53,9,"Monday","Friday","Sunday",1,2,0,0,106,"",1,1,1,0
"8992",8992,0,71,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8996",8996,0,26,5,"Monday","Sunday","Friday",1,2,0,0,106,"",1,1,1,0
"8997",8997,0,49,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"8998",8998,0,75,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Le Meridien Cancun Resort and Spa",1,1,0,0
"8999",8999,0,0,2,"Monday","Tuesday","Thursday",1,2,0,0,106,"",1,1,1,0
"9000",9000,0,69,7,"Monday","Sunday","Sunday",1,2,0,0,106,"",2,4,11,0.527222222222222
"9001",9001,0,4,4,"Monday","Saturday","Wednesday",1,2,0,0,1,"riu palace",1,1,1,0
"9002",9002,0,71,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"9004",9004,0,39,1,"Monday","Friday","Saturday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"9005",9005,0,15,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"9006",9006,0,78,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"9007",9007,0,56,4,"Monday","Monday","Friday",1,2,0,0,106,"",2,2,1,0.0286111111111111
"9008",9008,0,34,1,"Monday","Sunday","Monday",1,2,0,0,0,"The Ritz-Carlton, Cancun",1,1,0,0
"9010",9010,1,73,7,"Monday","Thursday","Thursday",1,2,1,0,106,"",6,7,5,0.114166666666667
"9011",9011,0,15,3,"Monday","Tuesday","Friday",1,1,0,0,73,"",2,3,1,0.139444444444444
"9012",9012,0,31,4,"Monday","Thursday","Monday",1,1,3,0,106,"",1,2,3,0
"9013",9013,0,75,6,"Monday","Saturday","Friday",1,3,0,0,106,"",3,5,14,0.190277777777778
"9015",9015,0,20,4,"Monday","Monday","Friday",1,2,0,0,32,"",7,13,10,13.3416666666667
"9016",9016,0,76,1,"Monday","Sunday","Monday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"9017",9017,0,2,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"9018",9018,0,64,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"9019",9019,0,61,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"9020",9020,0,86,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"9022",9022,0,69,1,"Monday","Sunday","Monday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"9023",9023,1,8,5,"Wednesday","Friday","Wednesday",1,2,0,0,106,"",5,7,13,47.8736111111111
"9024",9024,0,15,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Le Meridien Cancun Resort and Spa",1,1,0,0
"9025",9025,0,47,1,"Monday","Saturday","Sunday",1,2,0,0,0,"The Ritz-Carlton, Cancun",1,1,0,0
"9027",9027,0,89,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
